
10:10:46 am Platform : API, Module : Pdf Generation, Error : Error: Could not find Chrome (ver. 132.0.6834.83). This can occur if either
 1. you did not perform an installation before running the script (e.g. `npx puppeteer browsers install chrome`) or
 2. your cache path is incorrectly configured (which is: C:\Users\Padmalakshmi\.cache\puppeteer).
For (2), check out our guide on configuring puppeteer at https://pptr.dev/guides/configuration., Functionality : udfnPurchaseReceipt
10:26:50 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
10:26:50 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:26:50 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:30:13 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
10:30:14 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-address
10:30:14 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
10:30:14 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
10:30:14 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:30:15 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:32:05 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
10:32:05 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-address
10:32:06 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
10:32:06 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
10:32:06 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:32:06 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:32:09 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
10:32:10 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-address
10:32:10 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
10:32:10 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
10:32:10 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:32:11 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:32:51 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
10:32:52 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-address
10:32:53 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
10:32:53 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
10:32:53 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:32:53 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:37:20 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
10:37:21 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-address
10:37:21 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
10:37:22 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
10:37:22 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:37:22 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:38:58 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
10:38:59 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-address
10:38:59 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
10:38:59 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
10:38:59 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:38:59 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:39:41 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
10:39:42 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-address
10:39:42 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
10:39:42 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
10:39:42 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:39:42 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:42:02 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
10:42:03 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-address
10:42:03 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
10:42:03 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
10:42:03 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
10:42:03 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
