
3:58:00 pm Platform : API, Module : Payment, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : syncPayment
3:59:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:59:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:59:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
4:00:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
4:00:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
4:00:43 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
4:01:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
4:01:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
4:01:43 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
4:02:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
4:02:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
4:02:44 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
4:03:22 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
4:03:22 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
4:03:43 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
4:04:23 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
4:04:23 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
4:04:44 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
4:05:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
4:05:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
4:05:43 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
4:06:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
