
3:41:53 pm Platform : API, Module : refersh token, Error : JsonWebTokenError: invalid signature, Functionality : refreshtoken
4:33:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:33:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:34:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:34:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:35:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:35:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:36:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:36:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:37:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:37:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:38:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:38:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:39:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:39:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:40:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:40:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:41:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:41:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:42:05 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:42:06 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:43:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:43:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:44:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:44:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:45:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:45:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:46:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:46:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:47:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:47:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:48:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:48:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:49:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:49:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:50:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:50:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:51:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:51:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:52:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:52:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:53:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:53:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:54:06 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:54:06 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:55:02 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:55:02 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:56:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:56:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:57:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:57:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:58:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:58:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
4:59:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
4:59:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:00:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:00:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:01:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:01:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:02:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:02:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:03:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:03:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:04:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:04:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:05:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:05:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:06:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:06:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:07:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:07:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:08:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:08:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:09:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:09:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:10:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:10:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:11:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:11:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:12:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:12:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:13:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:13:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:14:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:14:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:15:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:15:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:16:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:16:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:17:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:17:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:18:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:18:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:19:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:19:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:20:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:20:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:21:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:21:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:22:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:22:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:23:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:23:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:24:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:24:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:25:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:25:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:26:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:26:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:27:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:27:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:28:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:28:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:29:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:29:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:30:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:30:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:31:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:31:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:32:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:32:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:33:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:33:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:34:04 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:34:04 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:35:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:35:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:36:02 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:36:02 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:37:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:37:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:38:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:38:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:39:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:39:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:40:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:40:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:41:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:41:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:42:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:42:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:43:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:43:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:44:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:44:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:45:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:45:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:46:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:46:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:47:06 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:47:08 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:48:01 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:48:01 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:49:03 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:49:04 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
5:50:00 pm Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
5:50:00 pm Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
